232.74,137.1,286.57,137.5,286.06,205.33,232.23,204.92
229.05,134.76,284.11,141.55,275.53,211.17,220.47,204.38
222.63,134.66,281.06,137.51,277.58,208.96,219.15,206.11
221.54,133.75,278.07,136.24,274.85,209.12,218.33,206.63
219.86,133.07,276.88,136.05,273.34,203.84,216.32,200.86
219.25,129.96,276.58,133.88,271.99,200.81,214.66,196.88
218.92,125.76,275.33,130.14,270.06,198.06,213.65,193.68
219.2,125.06,274.61,130.4,268.4,194.78,213,189.44
219.22,119.01,273.64,127.1,263.99,191.98,209.58,183.89
216.57,113.4,271.54,119.76,263.77,186.94,208.8,180.58
212.48,109.15,266.81,113.49,261.41,180.98,207.09,176.63
209.78,103.22,265.05,108.84,257.95,178.72,202.68,173.1
208.56,99.586,263.54,106.82,254.44,176,199.46,168.77
199.45,99.532,258.7,100.29,257.82,168.9,198.58,168.14
202.85,94.308,257.28,98.876,251.38,169.17,196.95,164.6
201.07,91.394,258.13,96.076,252.22,168.16,195.16,163.48
199.66,90.741,258.89,94.438,254.29,168.1,195.06,164.4
203.76,88.546,261.54,101.33,246.75,168.19,188.96,155.4
204.81,86.652,263.11,101.33,246.78,166.15,188.48,151.47
206.89,85.297,263.73,104.47,242.94,166.12,186.1,146.95
194.95,87.146,254.23,90.201,250.71,158.49,191.43,155.44
207.12,82.638,264.33,101.38,244.37,162.33,187.16,143.59
199.97,88.897,260.35,97.122,251.8,159.94,191.42,151.71
207.89,87.684,266.29,110.49,244.01,167.53,185.61,144.72
204.89,90.707,265.03,107.59,248.24,167.38,188.1,150.5
201.58,98.498,263,110.62,251.39,169.45,189.97,157.33
201.78,99.494,264.87,109.91,254.59,172.16,191.5,161.74
201.18,107.14,260.94,110.96,256.89,174.24,197.13,170.42
202.56,109.97,258.66,109.05,259.79,177.84,203.69,178.76
207.71,106.93,266.81,117.35,256.08,178.18,196.98,167.75
209.04,105.12,268.11,113.89,259.35,172.95,200.27,164.18
207.84,103.04,267.98,106.18,264.68,169.3,204.54,166.16
214.46,94.912,273.06,113.45,254.37,172.5,195.78,153.96
208.46,94.69,266.13,90.939,270.69,161.14,213.03,164.89
214.56,85.388,272.62,91.947,264.73,161.83,206.67,155.27
211.36,80.422,269.97,80.373,270.04,154.19,211.42,154.24
213.79,76.666,270.82,77.222,270.11,150.61,213.07,150.06
221.74,70.77,281.08,82.525,266.68,155.24,207.33,143.48
215.23,71.918,276.97,74.161,274.22,149.76,212.49,147.51
214.05,74.594,276.58,74.403,276.81,151.52,214.29,151.71
215.25,76.441,279.59,77.439,278.41,153.89,214.07,152.89
214.2,80.045,280.61,81.373,279.11,156.62,212.7,155.29
213.65,80.034,277.84,81.369,276.23,158.73,212.04,157.4
217.01,83.987,277.32,84.563,276.58,162.37,216.27,161.8
213.65,89.221,277.76,90.254,276.55,165.24,212.44,164.2
215.19,94.941,277.6,94.095,278.6,167.78,216.19,168.63
207.55,109.49,264.52,94.523,283.26,165.83,226.28,180.8
236.61,98.769,289.97,125.53,259.89,185.52,206.53,158.76
219.03,113.44,276,111.17,278.91,184.25,221.94,186.52
225,118.13,280.05,120.42,277.01,193.55,221.96,191.26
222.51,125.66,278.94,125.14,279.62,198.89,223.19,199.42
224.3,125.98,281.79,125.64,282.21,197.05,224.72,197.39
227.85,124.42,287.3,127.28,283.96,196.87,224.51,194.01
232.37,119.03,291.99,125.25,284.48,197.17,224.87,190.95
