1105.3,614.23,1143.7,623.64,1131.7,672.37,1093.3,662.96
1112.6,595.35,1140.3,597.79,1135.1,657.08,1107.3,654.64
1094.7,593.57,1127.9,588.54,1137.3,650.2,1104.1,655.23
1074,591,1108,591,1108,652,1074,652
1048,592.14,1080.1,593.85,1077,651.86,1044.9,650.15
1002.8,596.69,1044,595.04,1046.8,663.17,1005.5,664.82
1003.1,597.7,1030,644.31,965.29,681.71,938.36,635.1
918.37,638.43,956.49,597.37,1005.7,643.07,967.61,684.14
906.26,625.44,940.64,599.65,986.45,660.73,952.06,686.52
901.43,632.86,923.65,608.05,970.49,650,948.27,674.81
891.45,608.27,953.57,609.86,952.74,642.22,890.62,640.63
871.38,617.05,918.95,589.03,941.31,626.98,893.74,655
864.74,593.01,922.67,592.74,922.93,648.26,865,648.53
839.57,583.44,879.72,563.69,907.65,620.47,867.5,640.22
831.48,591.5,868.27,561.82,902.96,604.82,866.18,634.5
844.82,560.51,888.86,565.69,883.09,614.72,839.05,609.54
827.32,564.3,873.38,565.14,872.6,608.02,826.54,607.18
854.34,554.85,873.46,578.55,831.29,612.57,812.17,588.87
843.45,546.5,866.49,567.24,832.18,605.36,809.14,584.62
803.15,554.68,835.34,555.01,834.8,608.24,802.61,607.92
782.55,570.22,809.27,544.38,849.74,586.22,823.02,612.06
777.18,569.28,803.14,539.64,853.13,583.44,827.17,613.07
791.85,551.18,842.76,567.07,829.3,610.17,778.39,594.29
824.92,548.39,844.41,580.17,790.01,613.54,770.52,581.76
776.58,571.05,842.98,563.62,845.91,589.78,779.5,597.21
779.42,569.36,851.29,571.31,850.7,593.1,778.83,591.16
796.67,566.11,859.3,582.46,855.32,597.74,792.68,581.39
800.6,542.08,846.95,561.29,832.16,596.98,785.81,577.78
801.4,544.76,849.55,557.02,841.82,587.37,793.67,575.1
805,531,848,531,848,560,805,560
801,516,840,516,840,561,801,561
801.28,501.98,842.88,504.25,839.66,563.18,798.05,560.9
785.65,506.77,813.7,483.15,854.18,531.22,826.13,554.84
790.34,503.78,812.11,485.85,845.25,526.09,823.48,544.01
787.91,505.22,806.29,486.47,841.4,520.9,823.02,539.64
783.23,506.89,795.31,486.18,834.79,509.21,822.72,529.92
775.5,500.5,787.5,488.5,817.5,518.5,805.5,530.5
768.55,501.79,812.69,506.44,811.29,519.72,767.15,515.07
756,505,803,505,803,514,756,514
743.66,501.14,781.88,498.89,782.5,509.5,744.28,511.75
735.03,495.69,758.72,497.24,758.23,504.73,734.54,503.18
716.6,489.47,745.68,488.26,746.12,498.91,717.05,500.12
693.46,482.34,728.46,484.18,727.81,496.67,692.8,494.83
673.19,478.63,707.58,476.17,708.68,491.52,674.28,493.98
652.45,482.53,683.38,468.09,690.22,482.76,659.29,497.2
629,469,666,469,666,485,629,485
606.05,463.96,643.14,464.1,643.07,481.16,605.99,481.03
582.08,462.65,617.54,456.94,620.37,474.54,584.91,480.24
555.13,456.14,592.04,455.34,592.45,473.9,555.54,474.71
525.85,456.25,565.71,451.56,568.16,472.33,528.3,477.02
496.37,452.28,536.45,449.42,537.8,468.44,497.72,471.29
462.8,450.78,506.19,446.12,508.22,465.06,464.83,469.71
432.04,448.43,476.22,443.99,478.1,462.73,433.93,467.17
400.42,443.53,442.82,443.64,442.77,464.09,400.36,463.97
364.91,441.4,406.21,442.45,405.66,464.28,364.36,463.23
329.49,439.7,370.38,441.94,369.13,464.64,328.25,462.4
294,436.49,331.49,442.05,327.95,465.89,290.46,460.33
253.5,442.18,287.93,441.34,288.45,462.89,254.02,463.73
211.59,439.72,244.81,444,241.76,467.74,208.53,463.47
168.89,441.4,202.2,445.32,199.19,470.9,165.88,466.99
119.18,446.72,156.82,445.28,157.72,468.63,120.08,470.07
71,449,112,449,112,473,71,473
44.252,441.23,69.536,455,53.535,484.38,28.251,470.6
